"DATE","BIOMASS"
1994-01-01,0.950071343739088
1995-01-01,0.951965381989654
1996-01-01,8.36325654650364
1997-01-01,3.62819654642429
1998-01-01,7.8348529000896
1999-01-01,5.44483360968922
2000-01-01,2.20590493593909
2006-01-01,8.30722980223428
2009-01-01,4.78574531768355
2010-01-01,3.00337790088524
2011-01-01,1.69795051861114
2012-01-01,4.96890642363331
2013-01-01,3.61849673783698
2014-01-01,2.27880195153931
2016-01-01,2.24966752752799
2019-01-01,4.8366748956438
2020-01-01,5.14529053063494
